name	           RA         Dec       dist_Mpc	loglumK     
dw1301-30          13:01:28.0 -30:06:43	4.90	 6.72
UGCA319            13:02:14.4 -17:14:15	5.75	 8.02
KK177              13:02:41.9 +21:59:51	4.83	 7.42
dw1302-40          13:02:49.0 -40:08:35	3.60	 6.59
dw1303+42          13:03:14.0 +42:22:17	9.04	 6.88
DDO161             13:03:16.8 -17:25:23	6.03	 8.74
ESO269-037         13:03:33.6 -46:35:03	3.15	 6.96
KK180              13:04:29.9 +17:45:32	4.40	 7.36
KK182              13:05:02.9 -40:04:58	5.94	 7.49
NGC4945            13:05:26.1 -49:28:16	3.47	10.66
dw1305+41          13:05:29.0 +41:53:24	9.04	 7.28
KDG218             13:05:44.0 -07:45:20	12.59	 8.51
IC4182             13:05:49.3 +37:36:21	4.35	 8.70
dw1305+38          13:05:58.0 +38:05:43	9.04	 7.03
DDO165             13:06:26.8 +67:42:15	4.83	 8.23
dw1306-29          13:06:48.0 -29:53:30	4.90	 6.87
MCG-03-34-002     13:07:56.6 -16:41:21	7.90	 8.10
UGC08215           13:08:03.6 +46:49:41	4.57	 7.18
UGC08245           13:08:34.2 +78:56:13	4.72	 7.78
dw1308+40          13:08:46.0 +40:54:04	9.04	 7.54
MCG-04-31-038     13:09:36.6 -27:08:26	7.80	 8.79
ESO269-058         13:10:32.9 -46:59:27	3.75	 8.86
[KK2000]53        13:11:14.2 -38:54:22	2.92	 7.46
dw1312-4244        13:12:10.9 -42:44:44	3.70	 6.03
NGC5023            13:12:11.9 +44:02:19	6.05	 9.01
NGC5055dwTBG1      13:12:18.9 +41:58:37	9.00	 6.38
dw1312-4218        13:12:22.5 -42:18:42	3.70	 5.63
dw1313-4246        13:12:42.9 -42:46:51	3.70	 5.98
KK189              13:12:45.0 -41:49:55	4.23	 7.48
CGCG217-018       13:12:51.8 +40:32:35	9.04	 8.19
KKH82              13:12:58.7 +41:47:12	7.48	 7.46
dw1313+46          13:13:02.0 +46:36:08	8.40	 6.98
ESO269-066         13:13:09.2 -44:53:24	3.75	 8.42
NGC5011C           13:13:11.9 -43:15:56	3.73	 7.98
DDO167             13:13:22.8 +46:19:11	4.25	 7.19
dw1313-4211        13:13:34.3 -42:11:08	3.70	 6.75
dw1313-4214        13:13:36.4 -42:14:08	3.70	 6.63
KK191              13:13:39.7 +42:02:39	8.28	 6.83
LVJ1313+1003      13:13:47.3 +10:03:11	3.78	 7.42
UGC08313           13:13:53.9 +42:12:31	9.04	 8.46
dw1314-28          13:14:02.0 -28:12:12	4.90	 7.25
DDO168             13:14:28.6 +45:55:10	4.25	 8.13
NGC5055dwTBG2      13:14:51.1 +41:43:30	9.00	 6.38
dw1315-4232        13:15:03.0 -42:32:18	3.70	 6.32
DDO169NW           13:15:19.2 +47:32:18	4.33	 6.34
DDO169             13:15:30.7 +47:29:47	4.41	 7.73
KK193              13:15:31.2 +41:30:05	9.04	 6.71
dw1315-4309        13:15:34.0 -43:09:27	3.70	 5.74
NGC5055            13:15:49.3 +42:01:45	9.04	11.00
dw1316-4224        13:16:42.3 -42:24:05	3.70	 7.05
CGCG189-050       13:17:04.9 +37:57:09	3.93	 7.22
KK194              13:17:19.5 +44:23:48	9.04	 7.15
AGC239141          13:17:40.8 +35:27:59	3.75	 6.01
dw1317-4255        13:17:48.5 -42:55:40	3.70	 6.33
CenA-MM-Dw11       13:17:49.2 -42:55:37	3.52	 6.45
dw1318-21          13:18:04.0 -21:53:06	4.90	 7.06
dw1318-4233        13:18:05.6 -42:33:37	3.70	 6.40
Fluffy             13:18:10.9 -44:09:26	3.68	 6.84
NGC5068            13:18:55.3 -21:02:21	5.15	 9.73
CenA-MM-Dw5        13:19:52.4 -41:59:37	3.6	 5.59
AGC732602          13:21:04.8 +24:08:36	8.20	 7.26
dw1321-27          13:21:08.0 -27:44:56	4.90	 6.79
KK195              13:21:08.2 -31:31:47	5.22	 6.96
[KK2000]54        13:21:32.4 -31:53:11	3.75	 6.26
KK196              13:21:47.1 -45:03:48	3.96	 7.14
NGC5102            13:21:57.8 -36:37:47	3.66	 9.70
KK197              13:22:01.8 -42:32:08	3.84	 8.11
dw1322-27          13:22:06.0 -27:34:45	4.90	 7.17
[KK2000]55        13:22:12.4 -42:43:51	3.85	 7.81
dw1322-39          13:22:32.0 -39:54:20	2.95	 6.12
KK198              13:22:56.1 -33:34:22	4.90	 7.39
PGC725719          13:22:56.8 -29:44:19	4.41	 7.33
CenA-MM-Dw4        13:23:02.6 -41:47:10	4.09	 6.95
KV19-212           13:23:09.8 -43:52:28	3.68	 7.02
AM1320-230         13:23:29.9 -23:23:35	4.90	 7.46
dw1323-40b         13:23:55.0 -40:50:09	3.91	 6.90
CenA-MM-Dw10       13:24:32.9 -44:44:07	3.27	 5.81
KK200              13:24:36.0 -30:58:20	4.76	 7.31
dw1323-40          13:24:53.0 -40:45:41	3.73	 7.01
KV19-271           13:25:11.1 -43:30:33	3.68	 7.12
NGC5128            13:25:28.9 -43:01:00	3.68	10.89
dw1325-33          13:25:41.0 -33:00:25	4.90	 6.78
UCD320             13:25:52.7 -42:54:13	3.70	 7.13
UCD330             13:25:54.3 -41:00:35	3.70	 7.42
CenA-MM-Dw6        13:25:57.6 -41:05:39	4.0	 6.36
dw1326-29          13:26:04.0 -29:24:16	4.90	 6.88
dw1326-37          13:26:22.0 -37:23:08	3.60	 6.45
CenA-MM-Dw7        13:26:28.7 -43:33:24	4.1	 6.29
KV19-329           13:26:41.3 -42:42:14	3.68	 7.03
dw1326-35          13:26:44.0 -35:05:00	4.90	 6.14
IC4247             13:26:44.4 -30:21:45	5.18	 8.25
dw1327+51          13:27:01.0 +51:41:08	8.40	 7.00
KK203              13:27:28.1 -45:21:09	3.77	 6.50
ESO324-024         13:27:37.4 -41:28:50	3.78	 8.35
PGC2229803         13:27:53.1 +43:48:55	6.58	 7.42
CVnI               13:28:03.5 +33:33:21	0.22	 6.10
dw1328-29          13:28:12.0 -29:28:45	4.90	 6.75
LVJ1328+4937      13:28:31.2 +49:37:38	8.40	 7.20
dw1329-45          13:29:10.0 -45:10:31	2.90	 6.21
PGC170257          13:29:21.0 -21:10:45	4.90	 7.67
NGC5204            13:29:36.4 +58:25:04	4.59	 8.84
KV19-442           13:29:43.8 -42:23:29	3.68	 7.11
NGC5194            13:29:52.7 +47:14:04	8.40	10.97
CenA-MM-Dw2        13:29:57.3 -41:52:23	4.15	 6.17
dw1329-32          13:29:58.0 -32:29:46	4.90	 6.73
NGC5195            13:29:58.7 +47:16:05	7.66	10.59
dw1330-34          13:30:02.0 -34:00:14	4.90	 6.79
dw1330-33          13:30:04.0 -33:50:06	4.90	 6.20
CenA-MM-Dw1        13:30:14.3 -41:53:36	3.91	 8.04
CenA-MM-Dw3        13:30:21.5 -42:11:33	3.8	 7.73
dw1330-38          13:30:41.0 -38:10:03	3.60	 6.16
UGC08508           13:30:44.4 +54:54:36	2.67	 7.54
dw1330-32          13:30:54.0 -32:18:21	4.90	 6.04
dw1331-40          13:31:26.0 -40:15:47	3.60	 5.79
AGC238890          13:32:30.3 +25:07:25	5.08	 7.05
UGCA361            13:32:36.2 +49:49:49	8.40	 8.13
CenA-MM-Dw9        13:33:01.5 -42:31:48	3.8	 6.92
CenA-MM-Dw8        13:33:34.1 -41:36:28	3.4	 6.49
NGC5206            13:33:43.9 -48:09:04	3.21	 8.95
NGC5229            13:34:02.9 +47:54:55	8.40	 8.51
NGC5238            13:34:42.7 +51:36:50	4.51	 8.02
ESO270-017         13:34:47.3 -45:32:51	6.95	 9.75
dw1335-29          13:35:46.0 -29:42:24	5.01	 6.79
UGCA365            13:36:30.8 -29:14:11	5.42	 7.73
dw1336-32          13:36:33.0 -32:18:05	4.90	 7.19
KK208              13:36:35.5 -29:34:15	5.01	 8.71
dw1336-44          13:36:44.0 -44:26:50	3.50	 5.50
MCG+08-25-028     13:36:44.8 +44:35:57	8.40	 7.77
NGC5236            13:37:00.1 -29:52:04	4.90	10.86
HIDEEPJ1337-33    13:37:00.6 -33:21:47	4.55	 6.73
dw1337-33          13:37:02.0 -33:31:25	4.90	 6.52
dw1337-26          13:37:13.0 -26:48:10	4.90	 7.08
ESO444-084         13:37:20.2 -28:02:46	4.61	 7.61
HIPASSJ1337-39    13:37:25.1 -39:53:52	5.08	 7.21
NGC5237            13:37:38.9 -42:50:51	3.33	 8.43
dw1337-41          13:37:55.0 -41:54:11	3.60	 6.49
dw1338+50          13:38:49.0 +50:01:10	8.40	 7.08
UGC08638           13:39:19.4 +24:46:33	4.29	 7.97
UGC08647           13:39:48.0 +31:17:25	8.60	 7.74
DDO181             13:39:53.8 +40:44:21	3.10	 7.56
NGC5253            13:39:55.8 -31:38:24	3.44	 9.08
IC4316             13:40:18.1 -28:53:40	4.35	 8.21
dw1340-30          13:40:19.0 -30:21:35	5.06	 6.90
dw1340+45          13:40:37.0 +45:41:54	8.40	 6.74
dw1341-33          13:41:13.0 -33:49:30	4.90	 7.06
NGC5264            13:41:37.0 -29:54:50	4.79	 8.88
dw1341-43          13:41:37.0 -43:51:17	3.53	 6.86
[KK2000]57        13:41:38.1 -42:34:55	3.84	 7.28
KK211              13:42:05.6 -45:12:18	3.68	 7.75
LVJ1342+4840      13:42:20.1 +48:40:57	8.40	 7.60
DDO182             13:42:32.6 +39:39:30	8.90	 7.89
dw1342-43          13:42:44.0 -43:15:19	2.90	 6.61
dw1343+58          13:43:07.0 +58:13:40	6.31	 7.57
KK213              13:43:35.8 -43:46:09	3.77	 7.52
dw1343-34          13:43:49.0 -34:56:07	4.90	 6.31
ESO325-011         13:45:00.8 -41:51:32	3.40	 7.86
[KK2000]58        13:46:00.8 -36:19:44	3.36	 7.15
KK217              13:46:17.2 -45:41:05	3.50	 7.22
KK218              13:46:39.5 -29:58:45	4.94	 7.40
ESO174-001         13:47:57.7 -53:21:04	3.60	 7.90
CenN               13:48:09.2 -47:33:54	3.66	 7.32
HIPASSJ1348-37    13:48:33.9 -37:58:03	5.65	 6.87
KK221              13:48:46.4 -46:59:49	3.82	 6.74
ESO383-087         13:49:18.8 -36:03:41	3.19	 9.05
DDO183             13:50:51.1 +38:01:16	3.31	 7.54
HIPASSJ1351-47    13:51:22.0 -47:00:00	5.73	 7.01
#HIZOAJ1353-58     13:53:21.9 -58:03:17	2.10	    NaN 
KDG229             13:53:41.6 +60:03:04	15.00	 8.72
KKH86              13:54:33.6 +04:14:35	2.61	 6.51
HolmIV             13:54:45.1 +53:54:17	7.24	 8.62
UGC08833           13:54:48.7 +35:50:15	3.25	 7.41
#GBT1355+5439      13:54:50.6 +54:38:50	6.95	    NaN 
dw1355+51          13:55:11.0 +51:54:29	6.95	 7.07
M101Dw9            13:55:44.6 +55:08:45	7.73	 6.26
KK227              13:56:10.1 +40:18:12	9.04	 7.88
dw1357-28          13:57:00.0 -28:55:15	4.90	 6.50
ESO384-016         13:57:01.6 -35:20:02	4.49	 7.83
BootesIII          13:57:12.0 +26:48:00	0.05	 5.29
UGC08882           13:57:14.6 +54:06:03	8.32	 7.67
BootesII           13:58:08.0 +12:50:54	0.04	 3.70
BootesI            14:00:05.0 +14:30:15	0.07	 5.15
NGC5398            14:01:22.2 -33:03:52	11.64	 9.32
dw1401-32          14:01:25.0 -32:37:46	4.90	 6.87
M101Dw10           14:01:40.4 +55:00:57	27.90	 6.90
M101-df3           14:03:05.7 +53:36:56	6.52	 7.27
MESSIER101         14:03:12.8 +54:21:02	6.95	10.79
dw1403-33          14:03:18.0 -33:24:14	4.90	 6.75
NGC5408            14:03:21.5 -41:22:35	5.32	 8.57
M101-df1           14:03:45.0 +53:56:40	6.37	 6.17
M101dwD            14:04:24.6 +53:16:19	27.90	 8.18
M101-df5           14:04:28.1 +55:37:00	27.00	 8.48
PGC2448110         14:04:57.8 +53:41:29	6.98	 7.02
NGC5474            14:05:02.1 +53:39:47	6.98	 9.21
M101dwC            14:05:18.0 +54:53:56	27.90	 7.78
NGC5477            14:05:33.1 +54:27:39	6.76	 8.26
M101-df7           14:05:48.3 +55:07:58	27.00	 7.47
dw1406-29          14:06:41.0 -29:08:10	4.90	 6.87
M101-dwA           14:06:50.2 +53:44:32	6.65	 6.94
KK230              14:07:10.7 +35:03:37	2.21	 6.18
M101Dw7            14:07:21.0 +55:03:51	6.95	 6.14
M101-df4           14:07:33.4 +54:42:36	27.00	 7.45
M101-df6           14:08:19.0 +55:11:24	27.00	 6.96
M101-df2           14:08:37.5 +54:19:31	6.87	 6.74
dw1408+56          14:08:41.0 +56:55:38	27.90	 7.87
M101dwB            14:08:43.1 +55:09:57	27.90	 7.13
dw1409-33          14:09:03.0 -33:49:40	4.90	 6.88
M101Dw11           14:10:04.8 +54:15:29	27.90	 7.47
dw1410-34          14:10:47.0 -34:52:07	4.90	 6.54
M101Dw14           14:11:03.2 +53:56:50	27.90	 7.42
dw1412+56          14:12:11.0 +56:08:31	6.95	 6.79
dw1413-34          14:13:08.0 -34:23:33	4.90	 6.26
CIRCINUS           14:13:09.3 -65:20:21	4.20	10.60
KKH87              14:15:09.4 +57:05:15	8.87	 7.73
dw1415-32          14:15:41.0 -32:34:21	4.90	 6.08
DDO187             14:15:56.5 +23:03:19	2.30	 7.06
dw1416+57          14:16:59.0 +57:54:39	6.95	 6.95
KKR08              14:19:14.8 +03:07:26	15.00	 8.16
NGC5585            14:19:48.3 +56:43:49	5.70	 9.03
DDO190             14:24:43.5 +44:31:33	2.83	 7.93
PGC051659          14:28:03.7 -46:18:06	3.61	 7.51
CentaurusA-dE5    14:30:05.0 -33:28:45	9.00	 6.92
ESO222-010         14:35:03.0 -49:25:18	5.80	 7.69
DDO194             14:35:24.6 +57:15:24	5.81	 8.09
MRK0475            14:39:05.4 +36:48:22	9.20	 7.64
HIPASSJ1441-62    14:41:42.7 -62:46:02	5.32	 7.79
ESO272-025         14:43:25.5 -44:42:19	5.30	 7.88
KKR11              14:44:44.2 +55:35:17	10.00	 7.52
dw1446+58          14:47:00.0 +58:34:04	6.95	 7.19
UGC09540           14:48:52.0 +34:42:43	9.30	 7.52
ESO273-014         14:58:30.3 -47:41:55	9.90	 9.44
ESO223-009         15:01:08.5 -48:17:33	6.31	 9.17
UGC09660           15:01:09.3 +44:41:53	10.76	 8.68
UMin               15:09:11.3 +67:12:52	0.06	 5.80
ESO274-001         15:14:13.5 -46:48:45	2.79	 8.92
KKR18              15:17:54.5 +16:18:44	9.20	 7.78
#HIPASSJ1526-51    15:26:22.9 -51:10:31	6.28	   NaN  
#HIZOAJ1528-52     15:28:33.8 -52:13:56	8.20	    NaN 
UGC09893           15:32:57.1 +46:27:09	10.20	 8.25
BootesIV           15:34:45.4 +43:43:34	0.21	 4.51
UGC09992           15:41:47.8 +67:15:15	11.27	 8.26
PGC057323          16:09:36.8 -04:37:16	10.70	 8.64
KKR25              16:13:47.6 +54:22:16	1.91	 6.73
HIZOAJ1616-55     16:17:23.5 -55:43:57	9.88	 7.18
ESO137-018         16:20:59.3 -60:29:15	5.86	 9.54
Hercules           16:31:03.6 +12:47:24	0.15	 5.39
KDG235             17:00:25.3 +70:17:24	10.60	 7.64
Draco              17:20:01.4 +57:54:34	0.08	 6.45
MilkyWay          17:45:40.0 -29:00:28	0.01	10.78
IC4662             17:47:06.3 -64:38:25	2.55	 8.72
NGC6503            17:49:27.6 +70:08:41	6.25	10.00
NGC6503-d1         17:52:48.4 +70:08:14	6.25	 6.44
IC4710             18:28:38.0 -66:58:56	7.38	 9.24
NGC6684            18:48:57.9 -65:10:24	8.70	10.39
SagdSph           18:55:03.1 -30:28:42	0.02	 8.02
ESO104-022         18:55:41.2 -64:48:39	8.95	 8.05
NGC6744dwTBGa      19:05:56.0 -63:16:19	9.50	 7.38
[KK2000]70        19:06:58.9 -63:57:57	9.50	 7.21
UGC11411           19:08:42.3 +70:17:02	6.58	 7.85
[KK2000]71        19:08:44.0 -63:43:53	9.50	 8.24
NGC6744            19:09:45.9 -63:51:28	9.51	10.91
BedinI            19:10:45.8 -59:55:02	8.71	 6.56
ESO104-044         19:11:23.1 -64:13:09	9.73	 8.31
[KK2000]72        19:12:22.9 -63:51:22	9.50	 7.12
NGC6744dwTBGb      19:12:46.8 -63:39:49	9.50	 5.88
#HIZOAJ1914+10      19:15:02.5 +10:19:43	6.90	   NaN  
NGC6789            19:16:41.8 +63:58:22	3.55	 7.94
SagdIr            19:29:59.0 -17:40:41	1.08	 6.55
IC4870             19:37:37.6 -65:48:43	8.51	 8.34
NGC6822            19:44:57.7 -14:48:11	0.52	 8.38
LVJ1952+1428      19:52:11.8 +14:28:24	8.39	 7.78
SgrII             19:52:39.5 -21:56:06	0.07	 4.75
KK246              20:03:57.4 -31:40:54	6.85	 7.71
IC4951             20:09:31.8 -61:51:02	9.80	 8.92
UGC11583           20:30:15.3 +60:26:25	7.73	 8.21
KK251              20:30:32.0 +60:21:13	7.73	 7.94
KK252              20:31:32.6 +60:48:48	7.73	 8.13
NGC6946            20:34:51.1 +60:09:15	7.73	10.99
KKR55              20:45:20.8 +60:24:40	7.73	 8.40
DDO210             20:46:51.8 -12:50:53	0.98	 6.78
KKR56              20:48:24.1 +58:37:06	7.73	 8.24
Cepheus1           20:51:09.7 +56:53:24	7.73	 9.61
IC5052             20:52:06.2 -69:12:14	5.50	 9.27
KKR59              21:03:24.2 +57:17:14	7.73	 9.39
KKR60              21:05:53.0 +57:12:19	7.73	 8.66
Kim2               21:08:49.1 -51:09:56	0.10	 4.12
EZOAJ2120+45      21:20:46.2 +45:16:22	7.73	 9.22
Segue3            21:21:31.0 +19:07:02	0.02	 3.19
NGC7090            21:36:28.6 -54:33:26	9.51	10.03
IC5152             22:02:41.9 -51:17:43	1.96	 8.71
IC5201             22:20:57.4 -46:02:03	8.80	10.01
ESO238-005         22:22:30.1 -48:24:18	8.02	 8.21
AM2220-460         22:23:43.0 -45:52:56	8.80	 7.62
PegasusIII        22:24:22.6 +05:25:12	0.21	 4.31
AndXXVIII         22:32:41.2 +31:12:58	0.65	 6.04
Aquarius2         22:33:55.5 -09:19:39	0.11	 4.43
DDO215             22:39:08.8 -04:45:37	8.60	 8.21
KK258              22:40:43.9 -30:47:59	2.24	 7.16
Tucana             22:41:49.0 -64:25:12	0.92	 6.66
Tucana2           22:51:55.1 -58:34:08	0.06	 4.22
Grus1             22:56:42.4 -50:09:48	0.12	 4.04
LacI              22:58:16.3 +41:17:28	0.76	 7.34
PiscesII           22:58:31.0 +05:57:09	0.18	 4.70
AF7448_001         22:59:35.3 +16:46:11	5.00	 6.95
NGC7462            23:02:47.2 -40:50:06	10.10	 9.48
ApplesI            23:15:03.3 -42:32:22	8.32	 6.25
NGC7640            23:22:06.6 +40:50:44	8.43	 9.77
UGC12588           23:24:42.4 +41:20:53	8.43	 8.83
UGCA438            23:26:27.5 -32:23:26	2.22	 7.59
CasdSph           23:26:31.8 +50:40:32	0.82	 7.66
ESO347-017         23:26:56.1 -37:20:49	7.60	 8.17
Pegasus            23:28:34.1 +14:44:48	0.97	 7.35
DDO217             23:29:58.7 +40:59:25	8.55	 9.37
IC5332             23:34:27.5 -36:06:06	7.80	 9.62
LVJ2335-3713      23:35:04.1 -37:13:14	7.59	 7.38
NGC7713            23:36:15.0 -37:56:20	7.80	 9.43
UGC12713           23:38:14.5 +30:42:33	12.20	 8.90
Phoenix2          23:39:59.4 -54:24:22	0.08	 3.81
PGC680341          23:41:47.5 -33:08:41	6.08	 7.15
UGCA442            23:43:46.0 -31:57:33	4.37	 8.03
KKH98              23:45:34.0 +38:43:04	2.58	 6.63
ESO348-009         23:49:23.4 -37:46:25	11.50	 8.47
PegdSph           23:51:47.3 +24:34:53	0.82	 7.22
ESO149-003         23:52:02.8 -52:34:39	7.01	 7.95
AndXXI            23:54:47.7 +42:28:15	0.86	 6.34
TucanaIII         23:56:36.0 -59:36:00	0.03	 3.65
PAndAS-01          23:57:12.0 +43:33:08	0.78	 5.74
NGC7793            23:57:49.4 -32:35:24	3.63	 9.70
PAndAS-02          23:57:55.6 +41:46:49	0.78	 5.45
PGC704814          23:58:40.7 -31:28:03	3.60	 6.90
AndXXIX           23:58:55.6 +30:45:20	0.73	 5.96
